tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1985395058229817831',跑了一下从五年前到现在的几个比较大的个人项目（10k+ sloc） https://t.co/VGQMkHoKY1,zh,Tweet,1,17,0,2,1246,2025-11-04 01:14:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G42JlFfaAAALjaj.png,https://pbs.twimg.com/media/G42KBacbQAIcOtu.png,https://pbs.twimg.com/media/G42KDTyboAAY2gW.png,https://pbs.twimg.com/media/G42KEQpbQAEFCec.png"
'1985389303703486975',@Liuran_jyz 想起了 @Azuelle 去年生日的同款二进制🕯️ https://t.co/v1NMnePOjv,zh,Reply,0,4,0,0,76,2025-11-04 00:51:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G42FDDNbQAEm1KJ.jpg
'1985383496823783512',@AcboxLiu @aoim33 @Dustella_Chan 那有没有小型大猫猫 中型大猫猫 巨型中猫猫 巨型小猫猫,zh,Reply,0,5,0,2,126,2025-11-04 00:28:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1985365413946122566',https://t.co/DvdakRbGLI,zxx,Tweet,0,11,0,0,464,2025-11-03 23:16:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G41vULFbcAATIQT.jpg,https://pbs.twimg.com/media/G41vULBbYAEBMy4.jpg"
'1985185939149427053',@QusetionHub 庆祝一下，抽几台微服吧（,ja,Reply,0,9,0,0,456,2025-11-03 11:23:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1985043859488010253',@Liuran_jyz 生日快乐,zh,Reply,0,5,0,0,272,2025-11-03 01:58:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1984883932597518378',@Yuuki_Channn @tcdwww Moonlight 也是一种无线 DP（）,zh,Reply,0,1,0,0,35,2025-11-02 15:23:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1984826223231713434',@SeimoDev €€£ 也与时俱进了）,zh,Reply,0,5,0,0,350,2025-11-02 11:33:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1984376520362840321',@OikawaRizumu 下次我们去京都玩好不好～领略一下不一样的另一种日本～,zh,Reply,0,14,0,1,1898,2025-11-01 05:46:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1984183122758680992',@Asutaka233 怎么还有 Edge Spartan,zh,Reply,0,3,0,0,210,2025-10-31 16:58:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1984182818113831390',@IXXA00 替不了😇photoshop 的 generative fill 需要云端账号,zh,Reply,0,11,0,0,2200,2025-10-31 16:57:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983976115766227305',#pragma warning disable EF1001,en,Tweet,1,14,0,0,852,2025-10-31 03:15:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#pragma,,,
'1983888320662007846',@deleted_neko @luoling8192 @dinah_zhang 人类都是这样的，伪人才会行云流水般使用 emoji,zh,Reply,0,3,0,0,67,2025-10-30 21:26:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983756629092004248',@manateelazycat 草，微服成为理财产品,zh,Reply,0,8,0,0,526,2025-10-30 12:43:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983511320323588517',@enp39s0 @luoling8192 @dinah_zhang 🏳️,qme,Reply,0,3,0,0,101,2025-10-29 20:28:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983474622483120465',@luoling8192 @dinah_zhang 这个清晰的 README 里最好别有 emoji,zh,Reply,0,22,0,3,406,2025-10-29 18:02:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983432578792337691',万圣节🎃的小蛋糕🍰和糖果🍬 https://t.co/pvfjCE0Ykz,zh,Tweet,0,26,0,1,1196,2025-10-29 15:15:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G4aRafZaIAAVYdH.jpg
'1983407382177951931',"@manateelazycat 我当年真的很喜欢 deepin screenshot，我感觉比 flameshot 好用，除了有点卡之外都完美
当时还是因为 wineqq 没法全局快捷键，所以到处找替代的截图工具",zh,Reply,1,5,0,1,2570,2025-10-29 13:35:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983246176679055725',@levrhil 我也会😔身边有人就不会，所以我很希望身边能有人…,zh,Reply,0,2,0,0,729,2025-10-29 02:55:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1983090188961415209',@tcdwww 草，Moeditor！好古早的项目！那还是我第一次用心做 UI/UX 呢，好看吧！,zh,Reply,1,8,0,2,174,2025-10-28 16:35:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982868024190480566',"@ForsakenDreamm 戳啦 是四种
                  New Outlook (New)
 NEW       New",zh,Reply,1,129,1,0,7212,2025-10-28 01:52:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982867603698921625',@tcdwww 感觉我好多年前就看到过 tcdw 这个名字,zh,Reply,0,10,0,1,499,2025-10-28 01:50:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982811363681427810',@geniusvczh 学到了，即刻加入 cursur rule,zh,Reply,0,3,0,0,236,2025-10-27 22:07:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982810908352028893',@levrhil 我来给你拧😌,zh,Reply,0,0,0,1,48,2025-10-27 22:05:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982810445791535398',@levrhil @m1zukiqaqaqaq 穿衣风格有点像你,zh,Reply,0,2,0,0,56,2025-10-27 22:03:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982692019328958696',@ytiihyslqlabpow @Megabits_mzq 用过的唯一有问题的是 OneDrive,zh,Reply,0,2,0,0,147,2025-10-27 14:13:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982383626483601902',@tcdwww @AcboxLiu 这样好！主线不会很乱，而且点进 PR 还可以看到开发中的迭代细节,zh,Reply,0,5,0,0,133,2025-10-26 17:47:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1982383403954852100',@ZaindORp @blackanger 没有 ^$ 吧,zh,Reply,0,3,0,1,1307,2025-10-26 17:46:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1981985242794938679',"：我们有可以把直流电转换回交流电的东西，叫逆变器
我：逆变器？那有没有协变器？",zh,Tweet,2,32,0,6,3439,2025-10-25 15:24:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1982334763886424153',@iiiioioi 你可以搜一下协变和逆变（和电路无关的词,zh,Reply,0,2,0,0,82,2025-10-26 14:33:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1981736760699928827',@yozuha15 4/8/12🥹,und,Reply,0,2,0,1,322,2025-10-24 22:57:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1981477812168233365',@IC_7809_3 @GlunekiKCA 咲司了,ja,Reply,0,1,0,0,38,2025-10-24 05:48:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1980916099857461646',@Hang_asuka 嗯,ja,Reply,0,0,0,0,69,2025-10-22 16:36:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1980649488827183405',烤批不请自来 https://t.co/Kxpibr8Cp9,zh,Tweet,0,34,0,3,3008,2025-10-21 22:56:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G3yuNYxXgAAlzyc.jpg
'1979651822056046693',"@Lakr233 哦，旁边有一个取消的 secondary button，所以这个 primary button 是正向的操作
因为看到一起喝这个功能我有点懵所以没想到x",zh,Reply,0,1,0,0,270,2025-10-19 04:52:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1978428297928122593',@cyanvtb 不够三种，但是有互 fo！我是不是很荣幸,zh,Reply,0,4,0,1,478,2025-10-15 19:50:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1977990926405615822',@yozuha15 咕咕嘎嘎,ja,Reply,0,5,0,1,228,2025-10-14 14:52:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1977877952348950985',@cyanvtb 生日快乐～,zh,Reply,0,2,0,0,292,2025-10-14 07:23:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1976015131915297023',@YanboOfficial 生日快乐🎂,zh,Reply,0,4,0,0,320,2025-10-09 04:01:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1975595646326612176',@asahinaXmafuyu 我觉得我已经过了这个人生阶段，再也不会发生这种事了,zh,Reply,0,13,0,1,675,2025-10-08 00:14:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1975488259372556512',@YanboOfficial 这个是 context 的进度条，不是 credit,zh,Reply,0,48,0,1,1788,2025-10-07 17:07:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1975488160332456405',@hibikedoraki 花不完的钱是多少钱呢🥲,zh,Reply,0,3,0,0,546,2025-10-07 17:07:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1975202819734139071',@Equiliw 看起来真的很好吃🥹,zh,Reply,0,4,0,0,393,2025-10-06 22:13:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1975178701521535331',@levrhil 喵,ja,Reply,0,0,0,0,51,2025-10-06 20:37:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1974804854364311914',@Eru_Usagi_ @melodicgin 偷吃的借口罢了,zh,Reply,0,4,0,0,122,2025-10-05 19:52:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
